Leader ID,Is Active,Sort Order,Name,Role,Title,Bio,Photo Path,Photo Alt
wachira-james,Yes,10,"James Wachira, PhD",Lead,"Professor, Department of Biology · Associate Director, RCMI@Morgan","Dr. James Wachira leads the Research Capacity Core, overseeing the Molecular & Cellular Biology Core, Animal Research Facility, and Biostatistics and Bioinformatics Support Unit that together provide shared research capacity across RCMI@Morgan.",../img/faculty/faculty_James_Wachira.jpg,Dr. James Wachira
li-yuejin,Yes,20,"YueJin Li, MD, PhD",Co-Lead,"Associate Professor, Department of Biology","Dr. YueJin Li serves as Co-Lead of the Research Capacity Core, supporting the shared facilities and services that help RCMI@Morgan investigators carry out their research.",../img/faculty/pilot_yuejin_li.jpg,Dr. YueJin Li
