Item ID,Is Active,Sort Order,Icon,Title,Description
initial-consultation,Yes,10,💬,Initial Consultation,We provide a free initial consultation to discuss the specific needs of the researchers. This allows us to provide tailored recommendations for the effective use of our laboratory resources. This consultation is initiated and tracked in iLab.
methods-training,Yes,20,🎓,Methods Training,"We provide training in the equipment offered by the core laboratory, to the extent of current faculty staff expertise. Training is scheduled and tracked in iLab and guided by training workflows to ensure a standard and acceptable level of proficiency."
sample-pooling,Yes,30,🧪,Sample Pooling,"Equipment that may efficiently run samples from multiple researchers at once, such as the MiSeq and Lyophilizer, are scheduled and allotted in iLab."
protocol-development,Yes,40,📜,Protocol Development,We provide assistance in developing new protocols for investigators planning to use our resources. This service includes specific and detailed methods for equipment and services as well as advice on budgeting. Protocol development is initiated and tracked in iLab.
statistical-consulting,Yes,50,📊,Statistical Consulting,"We provide advice and assistance in statistical analysis of data, including bioinformatics analysis and figure formatting. Statistical software such as R, SPSS, MATLAB, and Graphpad Prism are available for use and training."
image-analysis,Yes,60,🖻️,Image Analysis,"We provide advice and assistance for imaging analysis of biological images, including ImageQuant TL, ImageJ/FIJI, MATLAB, CellProfiler, and more."
